 INFO  Accepting connections at http://localhost:3000
 HTTP  12/7/2025 9:52:31 AM 127.0.0.1 GET /
 HTTP  12/7/2025 9:52:31 AM 127.0.0.1 Returned 200 in 1039 ms
 HTTP  12/7/2025 9:52:35 AM 127.0.0.1 GET /
 HTTP  12/7/2025 9:52:35 AM 127.0.0.1 Returned 200 in 8 ms
 HTTP  12/7/2025 9:52:37 AM 127.0.0.1 HEAD /public/js/script.js
 HTTP  12/7/2025 9:52:37 AM 127.0.0.1 Returned 200 in 65 ms
 HTTP  12/7/2025 9:52:40 AM 127.0.0.1 HEAD /public/js/database.js
 HTTP  12/7/2025 9:52:40 AM 127.0.0.1 Returned 200 in 86 ms
 HTTP  12/7/2025 9:52:42 AM 127.0.0.1 HEAD /src/data/subjects/english_questions_jamb_2010.json
 HTTP  12/7/2025 9:52:42 AM 127.0.0.1 Returned 200 in 68 ms
 HTTP  12/7/2025 9:52:44 AM 127.0.0.1 HEAD /src/data/subjects/mathematics_questions_jamb_2010.json
 HTTP  12/7/2025 9:52:44 AM 127.0.0.1 Returned 200 in 76 ms
